,HPV32,HPV42,HPV3,HPV10,HPV28,HPV29,HPV61,HPV2,HPV27,HPV57,HPV51,HPV69,HPV56,HPV18,HPV39,HPV45,HPV59,HPV68,HPV70,HPV7,HPV16,HPV31,HPV33,HPV35,HPV52,HPV58,HPV67,HPV34,HPV54,HPV5,HPV8,HPV12,HPV14,HPV19,HPV20,HPV21,HPV24,HPV25,HPV36,HPV47,HPV93,HPV9,HPV15,HPV17,HPV22,HPV23,HPV37,HPV38,HPV80,HPV100,HPV151,HPV49,HPV75,HPV76,HPV92,HPV96,HPV4,HPV65,HPV95,HPV48,HPV50,HPV60,HPV88,HPV132,HPV197,HPV1,HPV41
HPV51,0.5378670788253478,0.5312977099236641,0.5045045045045045,0.4949053857350801,0.5112781954887218,0.5179640718562875,0.5053110773899848,0.5123076923076924,0.5215384615384615,0.5246153846153846,inf,inf,0.5947611710323575,0.5506807866868382,0.5681470137825421,0.5873261205564142,0.5765069551777434,0.5734157650695518,0.5618320610687023,0.481651376146789,0.5960061443932412,0.583203732503888,0.5667701863354038,0.5925349922239502,0.5564142194744977,0.5565891472868217,0.5619195046439629,0.5751533742331288,0.5263157894736842,0.3956723338485317,0.409375,0.40625,0.3924646781789639,0.40282131661442006,0.40062597809076683,0.39781591263650545,0.41158059467918623,0.4050235478806907,0.40873634945397813,0.40310077519379844,0.41497659906396256,0.39076923076923076,0.39375,0.39906832298136646,0.40342679127725856,0.41341653666146644,0.39596273291925466,0.3962558502340094,0.3925233644859813,0.40375586854460094,0.397196261682243,0.3761609907120743,0.3913713405238829,0.39009287925696595,0.40062597809076683,0.38509316770186336,0.4229559748427673,0.42138364779874216,0.42700156985871274,0.38176197836166925,0.359253499222395,0.4,0.38449612403100775,0.3730407523510972,0.3878504672897196,0.4024767801857585,0.3267175572519084
HPV69,0.5432098765432098,0.5447530864197531,0.5157894736842106,0.487627365356623,0.5037593984962406,0.5135542168674698,0.4947526236881559,0.5122699386503068,0.5146831530139103,0.522342064714946,inf,inf,0.595679012345679,0.5612708018154312,0.5692541856925418,0.5996908809891809,0.58887171561051,0.5935085007727975,0.5764525993883792,0.4969418960244648,0.5877862595419847,0.5903426791277259,0.5433436532507739,0.5940902021772939,0.5608628659476117,0.541795665634675,0.5802469135802469,0.5738461538461539,0.5384615384615384,0.4116743471582181,0.422360248447205,0.4102167182662539,0.4065934065934066,0.40654205607476634,0.40342679127725856,0.401244167962675,0.43260188087774293,0.4083850931677019,0.42040185471406494,0.423728813559322,0.4109375,0.40965732087227413,0.40688575899843504,0.40717628705148207,0.4252336448598131,0.42121684867394693,0.4165366614664587,0.4216300940438871,0.4125,0.4296875,0.4205607476635514,0.3953125,0.40561622464898595,0.4152410575427683,0.41809672386895474,0.3972179289026275,0.42923794712286156,0.43661971830985913,0.4317111459968603,0.3944099378881988,0.37597503900156004,0.39164086687306504,0.40030911901081917,0.3847352024922118,0.3972179289026275,0.42105263157894735,0.3312597200622084
HPV56,0.5244648318042814,0.5259146341463414,0.4940119760479042,0.4868421052631579,0.49702380952380953,0.5044776119402985,0.4759036144578313,0.5083969465648855,0.5053435114503817,0.50920245398773,0.5947611710323575,0.595679012345679,inf,0.5513595166163142,0.5499231950844854,0.5633587786259542,0.5601217656012176,0.5645412130637636,0.5419847328244275,0.4840182648401826,0.5590909090909091,0.5608628659476117,0.5276923076923077,0.549079754601227,0.5214067278287462,0.5377503852080123,0.5279503105590062,0.5396341463414634,0.5077399380804953,0.3873456790123457,0.4034003091190108,0.4015503875968992,0.3972179289026275,0.4012345679012346,0.4,0.3966049382716049,0.4119448698315467,0.4034003091190108,0.4024767801857585,0.4,0.4083204930662558,0.3880368098159509,0.3726993865030675,0.39473684210526316,0.4034003091190108,0.4062015503875969,0.38198757763975155,0.38366718027734975,0.3856920684292379,0.4024767801857585,0.40494590417310666,0.3842662632375189,0.3825301204819277,0.39006024096385544,0.40993788819875776,0.3925233644859813,0.3987635239567233,0.38330757341576505,0.3834355828220859,0.3678516228748068,0.37191358024691357,0.3844984802431611,0.40644171779141103,0.3755795981452859,0.38368580060422963,0.3937984496124031,0.3435114503816794
HPV18,0.5491679273827534,0.5454545454545454,0.5232383808095952,0.5109489051094891,0.5261584454409567,0.5290611028315947,0.5187406296851574,0.5151057401812689,0.5241691842900302,0.518796992481203,0.5506807866868382,0.5612708018154312,0.5513595166163142,inf,inf,inf,inf,inf,inf,0.531437125748503,0.5849624060150376,0.5987841945288754,0.5523520485584219,0.5930408472012103,0.5690440060698028,0.5385779122541604,0.5451807228915663,0.5226586102719033,0.5303951367781155,0.3960843373493976,0.3975720789074355,0.394856278366112,0.38694992412746587,0.40667678300455234,0.3960546282245827,0.3945371775417299,0.4027355623100304,0.3945371775417299,0.403030303030303,0.4069591527987897,0.4012158054711246,0.4009077155824508,0.39545454545454545,0.39580209895052476,0.4032983508245877,0.38821752265861026,0.38980509745127434,0.39209726443769,0.396969696969697,0.3972809667673716,0.391304347826087,0.39064856711915535,0.3843843843843844,0.38323353293413176,0.3966565349544073,0.3996983408748115,0.3915022761760243,0.38694992412746587,0.403030303030303,0.36904761904761907,0.3787878787878788,0.37462235649546827,0.3937125748502994,0.38821752265861026,0.3598200899550225,0.41478129713423834,0.3480825958702065
HPV39,0.5235920852359208,0.5265553869499241,0.5134328358208955,0.49056603773584906,0.5148809523809523,0.5096870342771982,0.4909365558912387,0.5204855842185129,0.5235204855842185,0.524390243902439,0.5681470137825421,0.5692541856925418,0.5499231950844854,inf,inf,inf,inf,inf,inf,0.5075528700906344,0.5758039816232772,0.5846153846153846,0.5596330275229358,0.5758039816232772,0.5492307692307692,0.5446153846153846,0.536923076923077,0.5268817204301075,0.5182926829268293,0.38990825688073394,0.39631336405529954,0.3870967741935484,0.38580246913580246,0.3901689708141321,0.38591117917304746,0.38461538461538464,0.41411042944785276,0.4009216589861751,0.3987730061349693,0.39541984732824426,0.41013824884792627,0.37883435582822084,0.38650306748466257,0.3984615384615385,0.41131498470948014,0.4110429447852761,0.3892307692307692,0.3981762917933131,0.3882896764252696,0.4123076923076923,0.40061162079510704,0.38556067588325654,0.3853211009174312,0.3929663608562691,0.39351851851851855,0.39203675344563554,0.38871951219512196,0.37883435582822084,0.4012251148545176,0.38461538461538464,0.3763440860215054,0.38496932515337423,0.3893129770992366,0.38145896656534956,0.36890243902439024,0.4169230769230769,0.33781763826606875
HPV45,0.5382262996941896,0.55895865237366,0.5203007518796993,0.5255474452554745,0.5232383808095952,0.5269461077844312,0.5128983308042488,0.5290519877675841,0.5397553516819572,0.5396341463414634,0.5873261205564142,0.5996908809891809,0.5633587786259542,inf,inf,inf,inf,inf,inf,0.543247344461305,0.6091603053435114,0.6107692307692307,0.5714285714285714,0.6144393241167435,0.5701219512195121,0.5640243902439024,0.5565749235474006,0.5412844036697247,0.562111801242236,0.40978593272171254,0.41770186335403725,0.4124031007751938,0.4104938271604938,0.4201550387596899,0.4192546583850932,0.4161490683229814,0.4263565891472868,0.4294573643410853,0.42901234567901236,0.4243827160493827,0.42813455657492355,0.41384615384615386,0.4077519379844961,0.4036697247706422,0.41640866873065013,0.41203703703703703,0.4055299539170507,0.4126738794435858,0.4148606811145511,0.41975308641975306,0.4104134762633997,0.4,0.40615384615384614,0.4074074074074074,0.4055727554179567,0.41140215716486905,0.4170542635658915,0.4124031007751938,0.4234930448222566,0.3880368098159509,0.3882896764252696,0.386748844375963,0.4015384615384615,0.39631336405529954,0.3767228177641654,0.42569659442724456,0.3577981651376147
HPV59,0.5492307692307692,0.5430769230769231,0.5201793721973094,0.5292397660818714,0.5165165165165165,0.5352323838080959,0.5045731707317073,0.5242424242424243,0.5290519877675841,0.5320121951219512,0.5765069551777434,0.58887171561051,0.5601217656012176,inf,inf,inf,inf,inf,inf,0.512937595129376,0.583206106870229,0.5953488372093023,0.566412213740458,0.6003086419753086,0.5821812596006144,0.5718701700154559,0.554364471669219,0.536697247706422,0.5285053929121726,0.40706605222734255,0.4062015503875969,0.4083204930662558,0.3922480620155039,0.4126738794435858,0.4015503875968992,0.3984496124031008,0.41384615384615386,0.4074074074074074,0.41448382126348227,0.41347626339969373,0.4074074074074074,0.3826219512195122,0.38425925925925924,0.39203675344563554,0.4124809741248097,0.3953846153846154,0.3953846153846154,0.3852080123266564,0.39076923076923076,0.4,0.3987730061349693,0.3944954128440367,0.3889739663093415,0.3929663608562691,0.4027777777777778,0.40494590417310666,0.4071207430340557,0.4086687306501548,0.4071207430340557,0.3902439024390244,0.38058551617873654,0.39692307692307693,0.3944954128440367,0.3932411674347158,0.3778801843317972,0.4142194744976816,0.33890577507598785
HPV68,0.5375191424196019,0.5375191424196019,0.5105421686746988,0.4948905109489051,0.515015015015015,0.511177347242921,0.4886535552193646,0.5090361445783133,0.5179640718562875,0.5166666666666667,0.5734157650695518,0.5935085007727975,0.5645412130637636,inf,inf,inf,inf,inf,inf,0.5152439024390244,0.5657492354740061,0.5929878048780488,0.5628834355828221,0.5880551301684533,0.5541984732824428,0.5577812018489985,0.5604900459418071,0.5429447852760736,0.5314900153609831,0.38854489164086686,0.4046511627906977,0.39069767441860465,0.3894080996884735,0.40649149922720246,0.3965785381026439,0.3956386292834891,0.4179566563467492,0.4071207430340557,0.40746500777604977,0.4039938556067588,0.4174454828660436,0.3861538461538462,0.3940809968847352,0.39813374805598756,0.4182098765432099,0.4152410575427683,0.3904320987654321,0.4039938556067588,0.3922480620155039,0.42391304347826086,0.40030911901081917,0.3873456790123457,0.38509316770186336,0.3931888544891641,0.4077519379844961,0.3937984496124031,0.40435458786936235,0.3965785381026439,0.42701863354037267,0.39814814814814814,0.3978328173374613,0.3798449612403101,0.3911042944785276,0.3769230769230769,0.36728395061728397,0.41384615384615386,0.338855421686747
HPV70,0.5328244274809161,0.5297709923664122,0.5203007518796993,0.4948905109489051,0.523168908819133,0.5156017830609212,0.5158371040723982,0.5287009063444109,0.5317220543806647,0.525679758308157,0.5618320610687023,0.5764525993883792,0.5419847328244275,inf,inf,inf,inf,inf,inf,0.5144596651445966,0.5709923664122137,0.5742725880551302,0.5648854961832062,0.5716463414634146,0.5707762557077626,0.5565749235474006,0.5603053435114503,0.5506807866868382,0.510670731707317,0.3857791225416036,0.3951367781155015,0.39361702127659576,0.38729198184568836,0.394856278366112,0.38591117917304746,0.3889739663093415,0.4133738601823708,0.4012158054711246,0.3945371775417299,0.39215686274509803,0.4115853658536585,0.3719512195121951,0.38088012139605465,0.3942161339421613,0.4106060606060606,0.4124809741248097,0.38972809667673713,0.3903177004538578,0.3795731707317073,0.4030534351145038,0.3939393939393939,0.38088012139605465,0.3858858858858859,0.3918918918918919,0.39541984732824426,0.39634146341463417,0.3930197268588771,0.3960546282245827,0.4030534351145038,0.39123867069486407,0.36930091185410335,0.3930197268588771,0.38181818181818183,0.3610271903323263,0.37784522003034904,0.4264036418816389,0.33727810650887574
HPV7,0.5960061443932412,0.6226993865030674,0.5112443778110944,0.4782608695652174,0.5044776119402985,0.5059701492537313,0.4888558692421991,0.48120300751879697,0.48872180451127817,0.4842105263157895,0.481651376146789,0.4969418960244648,0.4840182648401826,0.531437125748503,0.5075528700906344,0.543247344461305,0.512937595129376,0.5152439024390244,0.5144596651445966,inf,0.518910741301059,0.5391705069124424,0.47058823529411764,0.5472560975609756,0.46646341463414637,0.4642313546423135,0.47938931297709925,0.4740061162079511,0.5389312977099237,0.4212121212121212,0.4277016742770167,0.4192073170731707,0.41321044546851,0.42201834862385323,0.4233128834355828,0.42153846153846153,0.42835365853658536,0.4146341463414634,0.4292237442922374,0.41641337386018235,0.43119266055045874,0.41374045801526715,0.4217791411042945,0.41743119266055045,0.4222560975609756,0.42442748091603055,0.41743119266055045,0.4036697247706422,0.41807044410413474,0.4088145896656535,0.4176829268292683,0.4233128834355828,0.42879019908116384,0.4318529862174579,0.41013824884792627,0.4146341463414634,0.3996937212863706,0.40950920245398775,0.4049079754601227,0.3668188736681887,0.3696319018404908,0.40212443095599393,0.4012158054711246,0.38145896656534956,0.3710879284649776,0.4142640364188164,0.337295690936107
